Index,X_Coordinate,Y_Coordinate,Phase_Error
579,6.0957,10.883,0.01184433164
580,6.1064,10.883,0.01767249483
581,6.1064,10.8936,0.01767249483
582,6.117,10.8936,0.01410039481
583,6.117,10.9149,0.01410039481
584,6.1277,10.9149,0.019928558
585,6.1277,10.9362,0.019928558
586,6.1383,10.9362,0.01635645798
587,6.1383,10.9468,0.01635645798
588,6.1489,10.9468,0.01278435796
589,6.1489,10.9681,0.01278435796
590,6.1596,10.9681,0.01861252115
591,6.1596,10.9894,0.01861252115
592,6.1702,10.9894,0.01504042113
593,6.1702,11.0106,0.01504042113
594,6.1809,11.0106,0.02086858432
595,6.1809,11.0319,0.02086858432
596,6.1915,11.0319,0.0172964843
597,6.1915,11.0532,0.0172964843
598,6.2021,11.0532,0.01372438428
599,6.2021,11.0745,0.01372438428
600,6.2128,11.0745,0.01955254747
601,6.2128,11.1064,0.01955254747
602,6.2234,11.1064,0.01598044745
603,6.2234,11.1277,0.01598044745
604,6.234,11.1277,0.01240834743
605,6.234,11.1489,0.01240834743
606,6.2447,11.1489,0.01823651062
607,6.2447,11.1702,0.01823651062
608,6.2553,11.1702,0.0146644106
609,6.2553,11.1809,0.0146644106
610,6.266,11.1809,0.02049257379
611,6.266,11.2021,0.02049257379
612,6.2766,11.2021,0.01692047377
613,6.2766,11.2128,0.01692047377
614,6.2872,11.2128,0.01334837375
615,6.2872,11.234,0.01334837375
616,6.2979,11.234,0.01917653694
617,6.2979,11.2447,0.01917653694
618,6.3085,11.2447,0.01560443692
619,6.3085,11.266,0.01560443692
620,6.3191,11.266,0.01203233691
621,6.3191,11.2766,0.01203233691
622,6.3298,11.2766,0.01786050009
623,6.3298,11.2979,0.01786050009
624,6.3404,11.2979,0.01428840008
625,6.3404,11.3085,0.01428840008
626,6.3511,11.3085,0.02011656326
627,6.3511,11.3298,0.02011656326
628,6.3617,11.3298,0.01654446324
629,6.3617,11.3511,0.01654446324
630,6.3723,11.3511,0.01297236323
631,6.3723,11.3723,0.01297236323
632,6.383,11.3723,0.01880052641
633,6.383,11.3936,0.01880052641
634,6.3936,11.3936,0.0152284264
635,6.3936,11.4149,0.0152284264
636,6.4043,11.4149,0.02105658958
637,6.4043,11.4362,0.02105658958
638,6.4149,11.4362,0.01748448957
639,6.4149,11.4574,0.01748448957
640,6.4255,11.4574,0.01391238955
641,6.4255,11.4787,0.01391238955
642,6.4362,11.4787,0.01974055274
643,6.4362,11.5,0.01974055274
644,6.4468,11.5,0.01616845272
645,6.4468,11.5213,0.01616845272
646,6.4574,11.5213,0.0125963527
647,6.4574,11.5426,0.0125963527
648,6.4681,11.5426,0.01842451589
649,6.4681,11.5638,0.01842451589
650,6.4787,11.5638,0.01485241587
651,6.4787,11.5851,0.01485241587
652,6.4894,11.5851,0.02068057906
653,6.4894,11.6064,0.02068057906
654,6.5,11.6064,0.01710847904
655,6.5,11.6277,0.01710847904
656,6.5106,11.6277,0.01353637902
657,6.5106,11.6489,0.01353637902
658,6.5213,11.6489,0.01936454221
659,6.5213,11.6596,0.01936454221
660,6.5319,11.6596,0.01579244219
661,6.5319,11.6809,0.01579244219
662,6.5426,11.6809,0.02162060538
663,6.5426,11.7021,0.02162060538
664,6.5532,11.7021,0.01804850536
665,6.5532,11.7234,0.01804850536
666,6.5638,11.7234,0.01447640534
667,6.5638,11.734,0.01447640534
668,6.5745,11.734,0.02030456853
669,6.5745,11.7553,0.02030456853
670,6.5851,11.7553,0.01673246851
671,6.5851,11.7766,0.01673246851
672,6.5957,11.7766,0.01316036849
673,6.5957,11.7979,0.01316036849
674,6.6064,11.7979,0.01898853168
675,6.6064,11.8191,0.01898853168
676,6.617,11.8191,0.01541643166
677,6.617,11.8404,0.01541643166
678,6.6277,11.8404,0.02124459485
679,6.6277,11.8723,0.02124459485
680,6.6383,11.8723,0.01767249483
681,6.6383,11.8936,0.01767249483
682,6.6489,11.8936,0.01410039481
683,6.6489,11.9149,0.01410039481
684,6.6596,11.9149,0.019928558
685,6.6596,11.9362,0.019928558
686,6.6702,11.9362,0.01635645798
687,6.6702,11.9681,0.01635645798
688,6.6809,11.9681,0.02218462117
689,6.6809,11.9894,0.02218462117
690,6.6915,11.9894,0.01861252115
691,6.6915,12.0106,0.01861252115
692,6.7021,12.0106,0.01504042113
693,6.7021,12.0319,0.01504042113
694,6.7128,12.0319,0.02086858432
695,6.7128,12.0532,0.02086858432
696,6.7234,12.0532,0.0172964843
697,6.7234,12.0638,0.0172964843
698,6.734,12.0638,0.01372438428
699,6.734,12.0851,0.01372438428
700,6.7447,12.0851,0.01955254747
701,6.7447,12.0957,0.01955254747
702,6.7553,12.0957,0.01598044745
703,6.7553,12.1064,0.01598044745
704,6.766,12.1064,0.02180861064
705,6.766,12.1277,0.02180861064
706,6.7766,12.1277,0.01823651062
707,6.7766,12.1489,0.01823651062
708,6.7872,12.1489,0.0146644106
709,6.7872,12.1702,0.0146644106
